Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total.1
31-JAN-2023|ASSA|EQUITY|3566394560.0|850|45329701|1800596177|34974381|0|1438493543|84777127|1847125|2991600|400100|3409409754|0|2390307|641200|50570704|1727600|6015275|10765732|0|84873988|156984806
31-JAN-2023|ATAP|EQUITY|1250000000.0|79|0|59500000|0|0|95790100|0|0|0|0|155290100|0|94708900|0|0|1000|0|0|0|0|94709900
31-JAN-2023|ATIC|EQUITY|2315361355.0|370|0|797734018|0|0|495521616|0|0|0|0|1293255634|0|863645841|0|19400|963500|0|25000|0|0|864653741
31-JAN-2023|ATPK|EQUITY|5760245414.0|194|334100|3695100|18900|0|250316994|0|500|0|7733000|262098594|0|3651000|3400000|366222000|1161500|0|516347807|0|99759129|990541436
31-JAN-2023|AUTO|EQUITY|4819733000.0|1360|589500|62078987|120075|0|360437643|21009350|5854901|121800|284775|450497031|0|326191449|6416566|58627828|625475|81504300|21053548|3586200|14179546|512184912
31-JAN-2023|AVIA|EQUITY|61953555600.0|650|12333500|20836859300|20530000|0|426123572|75614109|460471|12693000|67200|21384681152|117080079|4785185218|399666925|252121417|236200|6672107463|245925592|10486700|1940266654|14423076248
31-JAN-2023|AXIO|EQUITY|5840126500.0|214|0|1888652300|115946200|0|842320100|0|0|0|200000|2847118600|0|0|0|2285200|962700|0|0|0|0|3247900
31-JAN-2023|AYLS|EQUITY|853423236.0|83|0|594777100|0|0|257827136|0|0|0|0|852604236|0|0|0|583000|36000|0|200000|0|0|819000
31-JAN-2023|BABP|EQUITY|33759090208.0|91|117046900|17499556821|8825000|0|4932900627|125313676|23465500|2031100|24|22709139648|0|9123988119|1961100|114683700|62481100|49807600|77689533|0|1281673522|10712284674
31-JAN-2023|BACA|EQUITY|19953024885.0|130|350000000|16137706607|0|12686999|2546730433|398072413|7885134|2103300|37500|19455222386|0|1042800|766600|12001500|3891600|26575000|23126490|0|230868260|298272250
31-JAN-2023|BAJA|EQUITY|1800000000.0|157|0|88000000|0|0|310239200|0|0|0|0|398239200|0|619300|0|0|49600|315200|1000|775700|0|1760800
31-JAN-2023|BALI|EQUITY|3934592500.0|775|68436102|2632772451|0|0|430259300|0|123785647|0|0|3255253500|0|100000000|0|67502600|1131900|0|9500|0|68625000|237269000
31-JAN-2023|BANK|EQUITY|14655617769.0|1325|1307143500|4683368914|6412700|109580600|357974529|359425400|3855012|0|0|6827760655|5240000|12684600|14251900|1888097|135600|76274800|210609|0|36925762|147611368
31-JAN-2023|BAPA|EQUITY|661784520.0|84|0|435657800|0|0|157227403|0|65518817|0|0|658404020|0|1032500|0|575000|39900|0|1728100|0|0|3375500
31-JAN-2023|BAPI|EQUITY|5591980103.0|50|38067999|10742709|1114534|0|1378300371|202237729|11872945|1064679|7165200|1650566166|0|6939300|0|0|20251637|0|5000|0|0|27195937
31-JAN-2023|BATA|EQUITY|1300000000.0|570|0|0|0|50000|40274470|0|0|5900|0|40330370|0|0|0|72586100|3612800|36207500|3096500|0|63954200|179457100
31-JAN-2023|BAUT|EQUITY|4800049477.0|50|0|752475700|0|0|1444948217|0|160|40000|58000|2197522077|0|2600000000|0|800|2526600|0|0|0|0|2602527400
31-JAN-2023|BAYU|EQUITY|353220780.0|980|40895983|113991868|0|27384|13731109|19016300|10912|0|0|187673556|0|30618000|0|122828414|1041|0|0|0|4250830|157698285
31-JAN-2023|BBCA|EQUITY|123275050000.0|8475|1966479395|78814060|352894650|1420000|4551151099|1376114081|64377881|62425600|1322300|8454999066|611160094|2121295922|5833999832|3306040451|359258970|18544070570|1448259609|645729905|11128881701|43998697054
31-JAN-2023|BBHI|EQUITY|21730256442.0|1775|0|18643958903|0|0|389084552|2860168|12853879|0|146000|19048903502|0|2127438299|25600|4254789|245922922|3180600|1666216|0|81561949|2464050375
31-JAN-2023|BBKP|EQUITY|67887540178.0|120|4358399|2787955521|11439691|19662220|14479604807|22164966|227881358|2390800|870346267|18425804029|23327000|184604686|225624083|1230111285|74673095|482674976|557193338|0|1153444213|3931652676
31-JAN-2023|BBLD|EQUITY|1645796054.0|555|63198585|1190457865|0|1283|80664124|1125300|188153|0|0|1335635310|0|4996895|0|229664157|70639314|0|3744|0|3530300|308834410
31-JAN-2023|BBMD|EQUITY|4090090000.0|1950|0|100|0|63021200|192452600|0|0|0|0|255473900|0|0|0|400|174451100|0|74600|0|0|174526100
31-JAN-2023|BBNI|EQUITY|18648656458.0|9150|1217018507|40625825|113388342|3211100|768575802|580885492|5384615|29801509|1080061|2759971253|127891163|180460014|834475936|443713678|1775246|1407546321|194064457|11607340|1494526968|4696061123
31-JAN-2023|BBRI|EQUITY|151559001604.0|4580|3995590350|137858377|625825149|741772992|3041106216|2668576782|32857367|337377883|5500157123|17081122239|1388907120|2516148715|7010479938|5383310565|38396490|21046379791|1549775525|207498273|14702615897|53843512314
31-JAN-2023|BBRM|EQUITY|8479490328.0|57|0|6661414284|0|0|326657373|0|263862|0|66|6988335585|0|1114168300|0|254117452|13115997|0|106818532|0|2933333|1491153614
31-JAN-2023|BBSI|EQUITY|3674723301.0|2930|0|3242473130|0|0|260726144|0|53|0|0|3503199327|0|0|0|935|11382986|0|135361060|0|0|146744981
31-JAN-2023|BBSS|EQUITY|4800016020.0|63|0|800962800|0|0|498856820|0|0|800|0|1299820420|0|0|0|115600|75000|0|5000|0|0|195600
31-JAN-2023|BBTN|EQUITY|14034444413.0|1360|1405319321|166622101|177794969|11494789|1685325599|537943917|36715799|35207899|2835253|4059259647|7273061|88103542|207787396|95281506|10131424|492496462|130700126|73807768|448834933|1554416218
31-JAN-2023|BBYB|EQUITY|12038815679.0|740|176363466|4774891008|32129230|3469000|2786016022|734102407|62681469|5742429|229393529|8804788560|5940288|1746016693|93312101|80373092|44217708|210740844|143157921|0|748022062|3071780709
31-JAN-2023|BCAP|EQUITY|42618850927.0|71|20852200|21841314020|0|0|4257854476|402422700|62528463|0|19607900|26604579759|17094900|6513605446|26467300|131618200|17323500|106582400|3015122163|0|6186457259|16014271168
31-JAN-2023|BCIC|EQUITY|18109922009.0|127|0|1678136|0|7192|280098743|205|1832825|0|39|283617140|0|3981865771|0|100421|467993|0|1044807|0|20830|3983499822
31-JAN-2023|BCIP|EQUITY|1429915525.0|69|18000000|657494534|44057000|0|585080291|72547510|200000|0|90|1377379425|0|7900000|0|64900|26571100|17500000|500100|0|0|52536100
31-JAN-2023|BDMN|EQUITY|9773552870.0|2650|11724841|167847612|13475410|12717|305910867|37634907|4144726|1391751|180900|542323731|1464461|4710743|17898698|9122776692|1091666|36125643|25190947|620161|17903700|9227782711
31-JAN-2023|BEBS|EQUITY|45000000000.0|595|0|18583569330|0|0|21629888370|0|58872831|0|0|40272330531|20163000|982479700|68450300|2544880365|1861000|378090209|568411900|0|163332995|4727669469
31-JAN-2023|BEEF|EQUITY|1884312595.0|61|0|420728590|4500000|0|716087905|400000|0|100000|0|1141816495|0|5000|0|42000|1491100|0|8521700|0|178711300|188771100
31-JAN-2023|BEER|EQUITY|4000000000.0|376|0|313378400|3055000|0|210651900|270785900|0|0|0|797871200|0|0|0|1861900|246900|0|20000|0|0|2128800
31-JAN-2023|BEKS|EQUITY|51870438266.0|50|1513980|34355611025|1439450|41600|14553263046|337222476|235154234|409940|938934248|50423589999|0|3847179|0|868749507|36542310|0|18949839|0|55049|928143884
31-JAN-2023|BELI|EQUITY|118493291840.0|460|1391200|15844757100|7531800|0|2281200700|514443600|34985900|3800000|2200400|18690310700|0|192587800|8816340|124246526|1745000|20323838|103500|0|299858296|647681300
31-JAN-2023|BELL|EQUITY|7250000000.0|144|0|5774168700|0|0|191229100|867027600|378554000|114500|0|7211093900|0|0|0|32222600|687800|0|5995700|0|0|38906100
31-JAN-2023|BESS|EQUITY|3433136758.0|202|0|500266733|0|0|232859525|0|0|0|0|733126258|0|0|0|0|10500|0|0|0|0|10500
31-JAN-2023|BEST|EQUITY|9647311150.0|146|295895000|4845119900|9679700|0|2924889111|37512600|121412349|152000|0|8234660660|7240096|967138700|63209409|90934614|20729700|84423800|65790690|45205700|60977781|1405650490
31-JAN-2023|BFIN|EQUITY|15967115620.0|1155|519996300|1284553780|87886200|1136360|2591690928|377506174|1238235|11112700|129503080|5004623757|8106600|236669250|105240192|811674149|3287060|1585623652|234580658|352700|7959891202|10945425463
31-JAN-2023|BGTG|EQUITY|23970997103.0|90|0|8324318475|0|0|2512553225|0|650339|2764600|0|10840286639|0|2402279800|0|144296700|788923|18194000|1830667691|0|1249350|4397476464
31-JAN-2023|BHAT|EQUITY|5000000000.0|855|476016000|3399068300|600000|0|158291500|362399800|132324000|2800000|0|4531499600|0|0|0|15310200|48500|3141100|600|0|0|18500400
31-JAN-2023|BHIT|EQUITY|86068156705.0|59|24252800|7388623153|5030000|1000|18638255205|208123160|2042849869|2000|3246800|28310383987|0|41228148744|24807500|1708719116|21901540|410453866|2051593763|143621620|12168516569|57757762718
31-JAN-2023|BIKA|EQUITY|592280000.0|88|0|0|0|0|591626000|0|0|0|477700|592103700|0|700|0|62000|13500|0|100|0|0|76300
31-JAN-2023|BIKE|EQUITY|1293353109.0|206|0|191704900|0|0|129071809|0|200|100|0|320777009|0|0|0|776900|699600|0|1099600|0|0|2576100
